runNumber,MBD_NandS_geq_1,Jet_6_GeV_plus_MBD_NS_geq_1,Jet_8_GeV_plus_MBD_NS_geq_1,Jet_10_GeV_plus_MBD_NS_geq_1,Jet_12_GeV_plus_MBD_NS_geq_1,Photon_2_GeV_plus_MBD_NS_geq_1,Photon_3_GeV_plus_MBD_NS_geq_1,Photon_4_GeV_plus_MBD_NS_geq_1,Photon_5_GeV_plus_MBD_NS_geq_1
48240,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48244,ON,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF
48245,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48246,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48253,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48255,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48256,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48257,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48258,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48259,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48260,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48261,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48262,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48263,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48265,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48290,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48291,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48293,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48294,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48295,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48307,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48312,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48313,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48318,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48320,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48323,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48325,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48326,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48327,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48336,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48337,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48341,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48342,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48343,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48346,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48347,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48348,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48349,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48352,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48356,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48357,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48358,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48359,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48364,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48366,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48367,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
48368,ON,OFF,ON,ON,ON,OFF,ON,ON,ON
